"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13"
"ict";0,102;1;1;1;1;1;1;1;1;0,317;1;1;0,016
"good";1;1;1;0,032;1;1;1;1;0,29;1;1;0,29;0,553
"goal";1;1;0,457;0,63;0;1;1;0,005;1;1;1;1;1
"evolution";1;1;1;1;1;1;1;1;1;0,001;1;1;0,237
"epistemological";0,176;0,29;0,342;0,495;1;1;1;1;0,29;1;1;1;1
"engineer";0,102;0,185;1;0,35;1;0,154;1;1;1;1;1;1;1
"emergent";0,176;1;0,342;0,495;1;0,248;1;1;1;0,455;1;1;1
"embody";1;1;1;0,35;0,041;1;1;1;1;0,317;0,057;1;1
"edition";1;1;1;1;0;1;1;0,116;0,185;1;1;1;1
"easily";1;0,29;0,342;1;1;0,248;1;1;0,29;1;1;1;0,553
"distinguish";1;1;0,01;1;1;1;1;0,002;0,29;1;1;1;1
"discover";0,176;1;1;0,495;0,083;1;1;1;1;0,455;1;1;0,553
"department";1;1;1;0;1;1;1;1;1;1;1;1;1
"critically";1;1;0,026;0,63;1;0,346;1;1;0,016;1;1;1;1
"core";1;0,396;0,457;0,63;1;1;0,493;1;1;0,056;1;1;1
"convergence";1;0,29;1;0;1;1;1;1;1;1;1;1;1
"component";1;1;1;0,032;1;1;1;1;1;1;1;0,006;0,553
"complex";1;1;1;0,495;1;1;1;0,197;1;1;1;0;1
"complete";1;1;1;0,07;1;0,011;1;1;0,396;1;1;0,396;1
"code";1;0,016;1;0,63;1;1;1;1;0;1;1;1;1
"borrow";0,102;1;1;1;1;1;1;0,116;0,001;1;1;1;1
"bite";1;1;1;1;0;0,346;1;0,005;0,396;1;1;1;1
"benefit";1;1;1;0,63;1;0,346;0,493;1;1;0,586;1;0,396;0,694
"begin";1;1;1;0;1;1;1;1;1;1;1;1;1
"advantage";1;1;0,026;1;1;1;0,493;1;1;0,586;1;0,396;0,694
"writer";1;1;0,226;0,35;0,041;1;1;0,116;1;1;1;1;1
"website";1;1;1;0,495;0,083;1;1;1;1;0,455;0,109;0,29;1
"visualize";1;0,001;1;1;1;1;0,25;1;0,185;1;1;1;1
"visual";1;1;0,226;0,01;1;1;0,25;1;1;1;1;1;1
"vague";1;1;0,226;0,35;1;1;1;0;1;1;1;1;1
"understanding";1;1;1;0,201;1;0,071;1;1;1;1;0,02;1;1
"uncover";0;1;0,116;1;1;1;1;1;1;1;1;1;1
"transformation";1;0,185;1;1;1;1;0,25;0,116;0,185;1;1;1;1
"tradition";0,176;1;1;0,495;1;1;1;1;1;1;0;0,29;1
"theorize";1;0,09;1;0,201;1;1;1;1;1;0,178;1;1;1
"textual";1;0,185;1;0,01;1;1;0,25;1;1;1;1;1;1
"synthesis";0,102;1;1;0,35;1;1;1;1;1;0,317;0,057;1;1
"subset";1;1;1;1;1;1;0,374;0,197;0,006;1;0,109;1;1
"stuff";1;1;1;0,201;1;1;1;0,05;0,09;1;1;1;1
"skill";1;0,29;0,342;0;1;1;1;1;1;1;1;1;1
"short";1;1;1;0;1;1;1;0,197;1;1;1;1;1
"relevant";1;1;1;1;0,083;1;0,374;0,197;1;1;1;0,006;1
"refer";1;1;1;0,032;1;1;1;0,002;1;1;0,109;1;1
"real";1;0,29;1;1;0,083;0,248;1;0,197;1;1;0,109;1;1
"promote";0,176;0,29;1;1;0,083;0,248;1;1;1;0,455;1;1;1
"previously";1;0;1;1;1;1;1;1;1;1;1;0,29;1
"powerful";0,176;1;0,342;0,032;1;1;1;1;1;1;1;1;0,553
"pedagogical";1;1;1;0,495;1;0,248;0,374;1;1;0,455;1;0,29;1
"outcome";1;1;0,116;1;1;0,071;1;0,05;1;1;1;1;1
"organize";1;1;0,342;1;1;1;1;0,002;0,29;1;1;0,29;1
"ongoing";1;1;1;1;1;0;1;1;0,185;1;1;1;1
"norm";1;1;1;0,201;1;1;1;0,05;0,09;1;1;1;1
"movement";1;1;1;0,495;0,083;0,248;1;1;0,29;1;0,109;1;1
"literacy";1;1;0,342;0,032;1;1;1;0,197;0,29;1;1;1;1
"librarian";1;0,29;1;1;1;1;0,374;0,002;0,29;1;1;1;1
"liberal";1;1;1;0,35;1;0,154;0,25;1;1;0,317;1;1;1
"leave";1;1;0,01;0,495;0,083;1;1;1;1;1;1;0,29;1
"late";1;0,09;1;1;1;1;1;1;1;1;1;0;1
"largely";1;1;1;0,201;1;1;1;0,05;0,09;1;1;1;1
"interconnect";1;0,09;1;1;1;1;0,132;1;1;0,178;1;1;1
"integration";0,102;1;1;1;1;1;0,25;1;1;0,317;1;0,185;1
"innovation";1;0,185;0,226;0,01;1;1;1;1;1;1;1;1;1
"informatics";1;1;0,226;1;1;0,154;1;0,116;1;0,317;1;1;1
"imply";1;1;1;1;1;0;0,013;1;1;1;1;1;1
"imagine";1;1;0,226;1;1;1;0,25;1;1;0,008;1;1;1
"huge";1;1;1;0;1;0,248;1;1;1;1;1;1;1
"hard";1;1;1;1;0,013;1;1;0,05;0,09;1;1;1;1
"gather";1;1;0,116;1;1;1;0,132;1;1;1;1;1;0,237
"gain";1;0,006;0,342;1;1;1;1;0,197;0,29;1;1;1;1
"function";1;0,09;1;1;1;0,071;1;1;1;1;1;1;0,237
"finding";1;0,185;1;1;1;0;1;1;1;1;1;1;1
"extension";1;0,29;0,01;1;1;1;1;1;1;0,455;1;0,29;1
"expertise";1;1;1;1;1;0;1;0,002;1;1;1;1;1
"essentially";0,176;1;1;1;0,083;1;1;0,197;0,29;1;1;0,29;1
"endeavor";1;0,185;1;1;1;1;0,25;1;1;0,008;1;1;1
"encode";1;0,29;0;0,495;1;1;1;1;1;1;1;1;1
"educational";1;0,185;0,226;0,35;1;1;1;1;1;0,317;1;1;1
"discourse";1;1;0,01;0,032;1;1;1;0,197;1;1;1;1;1
"disciplinary";0,102;1;1;1;0,041;1;0,25;1;1;0,317;1;1;1
"digitize";1;1;0,226;1;1;0,154;0,25;1;1;0,317;1;1;1
"determine";1;0,185;0,226;1;0,041;1;1;1;0,185;1;1;1;1
"depend";1;1;1;0,495;1;1;1;0,197;0;1;1;1;1
"deep";1;1;1;0,495;0;1;1;1;1;1;1;1;1
"database";1;1;0,226;0,01;1;1;0,25;1;1;1;1;1;1
"cross";1;1;0,226;0,35;1;1;0,25;1;1;0,317;1;1;1
"connection";1;0;0,342;1;1;1;1;1;1;0,455;1;1;1
"conceive";1;0,29;1;0,032;1;0,248;1;1;1;1;1;0,29;1
"computation";0,102;0,185;1;1;1;1;1;0;1;1;1;1;1
"common";1;0,29;0,342;1;1;1;1;0,197;0,29;1;1;0,29;1
"commit";1;0;1;1;1;0,248;1;1;0,29;1;1;1;1
"collect";1;0,001;1;1;1;1;1;0,116;0,185;1;1;1;1
"classroom";1;1;0,116;0,201;1;1;1;1;1;1;0,02;1;1
"capability";1;0,185;0,226;0,35;1;1;0,25;1;1;1;1;1;1
"blog";1;0,185;1;1;1;1;1;1;1;1;0,057;0,001;1
"basic";1;1;0;1;1;1;0,25;1;1;1;1;1;1
"back";1;1;0,116;0,201;1;1;1;1;1;1;1;0,09;1
"assist";1;1;1;1;1;1;0;0,05;1;1;1;1;1
"array";0,176;0,29;1;0,495;1;1;1;0,197;1;1;1;0,29;1
"affordances";1;1;0,342;1;0,083;1;0,374;1;0,29;1;1;1;0,553
"accessible";1;1;0,01;1;0,083;0,248;1;1;0,29;1;1;1;1
"willingness";1;0,185;1;0,35;1;1;0,25;1;0,185;1;1;1;1
"transfer";1;1;0,002;0,35;1;1;1;1;1;1;0,057;1;1
"thinker";1;0,185;0,002;0,35;1;1;1;1;1;1;1;1;1
"theorise";1;0,09;1;1;1;1;1;1;1;1;1;0,09;0,237
"tell";1;1;0,226;0,01;1;1;1;1;1;1;1;0,185;1
"strong";1;1;1;0,201;1;1;0,132;1;0,09;1;1;1;1
"storage";1;1;0;1;1;1;0,132;1;1;1;1;1;1
"state";1;1;0,226;1;1;1;0,25;0,116;1;1;1;0,185;1
"special";1;0,09;1;1;1;1;1;1;0,09;1;1;1;0,237
"solve";1;1;1;1;1;0,071;1;0,05;1;1;1;1;0,237
"shape";1;1;1;1;1;1;0,132;1;0,09;1;1;0,09;1
"rich";1;1;0,116;0,201;1;1;1;1;0,09;1;1;1;1
"respond";0,102;1;1;0,35;1;1;1;1;0,185;1;0,057;1;1
"relation";1;1;1;0,35;1;1;1;1;0,185;0,317;1;0,185;1
"redefine";0,102;0,185;1;1;1;1;1;1;1;1;1;0,001;1
"quest";1;0,185;1;1;1;1;1;1;0,185;1;1;0,185;0,399
"qualitative";1;1;1;0,002;1;1;1;1;1;0,178;1;1;1
"professional";1;1;0,226;0,35;0,041;0,154;1;1;1;1;1;1;1
"problematic";1;1;1;1;1;1;1;1;0;1;1;1;1
"principle";1;1;1;0;1;1;1;1;1;1;1;1;1
"preserve";0,042;1;1;1;1;1;1;1;1;1;1;0,09;0,237
"pose";1;1;1;1;1;1;1;1;1;1;1;0;1
"portion";1;1;1;0,01;0;1;1;1;1;1;1;1;1
"political";1;0,09;1;0,201;1;1;1;1;0,09;1;1;1;1
"phenomenon";1;1;1;0,35;1;1;1;1;1;0,317;1;1;0,016
"personal";1;1;0,116;1;0,013;1;1;1;0,09;1;1;1;1
"perform";1;1;0,226;0;1;1;1;1;1;1;1;1;1
"participant";1;0,185;0,226;0,35;1;1;1;1;0,185;1;1;1;1
"numb";1;0,185;1;0,35;1;1;1;1;0,001;1;1;1;1
"multi";1;1;1;0,201;1;1;1;0;1;1;1;1;1
"merge";1;1;0,226;0,01;1;1;1;1;0,185;1;1;1;1
"meaning";1;1;1;0,35;1;1;0,25;1;0,185;0,317;1;1;1
"mark";1;0,001;1;1;0,041;1;1;1;0,185;1;1;1;1
"manipulate";1;1;1;1;1;1;1;1;0,185;0,317;1;0,185;0,399
"management";1;0,09;1;0,201;1;1;1;1;0,09;1;1;1;1
"main";1;1;1;1;0,041;1;1;0,116;1;0,317;1;0,185;1
"light";1;1;1;1;1;1;0;1;1;1;1;0,09;1
"library";1;1;0,002;0,01;1;1;1;1;1;1;1;1;1
"lens";0,102;1;1;0,35;1;0,154;1;1;1;0,317;1;1;1
"label";1;1;1;1;1;0,071;1;1;0,09;1;1;1;0,237
"interrogate";0,042;1;1;1;1;1;1;1;1;1;0,02;0,09;1
"interface";1;1;1;0,201;1;1;0,132;1;1;1;1;0,09;1
"incorporation";1;1;1;1;1;1;1;1;0,185;1;1;0,001;0,399
"impossible";1;1;0,116;0,201;1;1;1;1;1;0,178;1;1;1
"importantly";1;0,185;1;1;0,041;1;1;1;0,185;1;1;1;0,399
"hide";1;0,185;0,226;0,35;0,041;1;1;1;1;1;1;1;1
"grow";1;1;1;0,35;1;0;1;1;1;1;1;1;1
"fun";1;1;1;1;1;1;1;0,05;1;0,178;1;1;0,237
"framework";1;1;1;0,201;0,013;1;1;0,05;1;1;1;1;1
"format";1;1;0,116;1;1;0,071;1;1;1;1;1;0,09;1
"foreground";1;1;0;1;1;1;1;1;1;0,178;1;1;1
"folk";1;1;1;1;1;1;1;0;1;1;1;1;1
"fiction";1;1;1;0,002;1;1;1;0,05;1;1;1;1;1
"fall";1;0,185;1;0,35;0,041;0,154;1;1;1;1;1;1;1
"event";1;0,185;1;1;1;1;1;1;0;1;1;1;1
"emergence";1;1;1;1;1;1;0;0,116;1;1;1;1;1
"effort";1;1;0,226;0,01;1;1;1;0,116;1;1;1;1;1
"easy";1;1;1;1;1;1;0,132;1;1;0,178;1;1;0,237
"dynamic";1;0,185;0,226;1;1;1;1;0,116;1;1;1;0,185;1
"distinct";0;1;1;1;1;0,154;1;1;0,185;1;1;1;1
"discovery";1;1;1;1;1;0,154;0,25;0,116;1;1;1;1;0,399
"deeply";1;0,001;0,226;1;1;1;1;1;0,185;1;1;1;1
"decade";1;1;1;0,201;1;0,071;1;1;0,09;1;1;1;1
"curation";1;0,185;1;1;1;1;0,25;0,116;1;0,317;1;1;1
"creativity";1;0,09;0,116;1;1;1;1;1;1;0,178;1;1;1
"conventional";0,102;1;1;0,35;1;0,154;1;1;1;1;1;0,185;1
"consume";1;1;0,002;0,35;1;0,154;1;1;1;1;1;1;1
"consciously";1;1;1;1;1;0,071;0,132;1;0,09;1;1;1;1
"claim";1;1;0,116;1;1;0,071;1;0,05;1;1;1;1;1
"center";1;1;0;0,35;1;1;1;1;1;1;1;1;1
"carry";1;1;1;0,35;0;1;1;1;1;1;0,057;1;1
"capacity";1;0,09;0;1;1;1;1;1;1;1;1;1;1
"body";1;0,09;1;0,002;1;1;1;1;1;1;1;1;1
"blogs";1;1;0,226;0,35;1;1;1;0,116;1;1;0,057;1;1
"augment";1;1;1;1;1;0,071;1;0,05;1;1;1;0,09;1
"animal";1;0,09;0,116;1;1;1;1;1;0,09;1;1;1;1
"adopt";0,102;1;1;0,35;1;1;1;1;1;0,317;1;0,185;1
"xml";1;1;0,116;0,002;1;1;1;1;1;1;1;1;1
"utilization";1;1;1;1;1;0,071;0,132;1;1;1;0,02;1;1
"ubiquitous";1;0,09;1;0,002;1;1;1;1;1;1;1;1;1
"trend";0,042;1;0,116;1;1;1;1;0,05;1;1;1;1;1
"transmission";1;1;0,116;1;1;1;1;1;0;1;1;1;1
"thoughtful";1;1;1;0,201;1;0,071;1;1;1;1;0,02;1;1
"terras";1;1;1;0,201;1;1;1;0;1;1;1;1;1
"talk";1;1;0,116;0,201;1;1;1;1;1;0,178;1;1;1
"suggest";1;1;1;0,201;1;1;1;0,05;1;1;1;0,09;1
"stand";1;1;0,116;1;1;1;1;0,05;1;1;1;0,09;1
"sphere";1;0;1;1;1;1;1;1;0,09;1;1;1;1
"sound";0,042;0,09;0,116;1;1;1;1;1;1;1;1;1;1
"sort";1;1;1;0,201;1;1;0,132;1;0,09;1;1;1;1
"scope";1;1;1;1;1;1;0,132;1;0,09;1;1;1;0,237
"rubric";1;1;1;0,002;1;1;1;1;0,09;1;1;1;1
"require";1;1;0,116;1;1;0,071;0,132;1;1;1;1;1;1
"remix";1;1;0,116;1;1;1;0,132;1;1;1;1;0,09;1
"recent";1;1;1;0,201;1;1;1;0,05;0,09;1;1;1;1
"reader";1;1;1;0,002;1;1;1;0,05;1;1;1;1;1
"reach";1;0,09;1;1;1;1;1;0,05;1;1;1;0,09;1
"radically";1;1;1;0,201;1;1;1;1;0,09;1;1;0,09;1
"procedure";1;1;0,116;1;1;0,071;1;1;1;1;1;1;0,237
"primarily";1;0,09;1;0,201;1;1;1;1;1;0,178;1;1;1
"pretty";1;1;1;0,201;0,013;1;1;0,05;1;1;1;1;1
"potentially";0,042;1;0,116;1;1;1;1;0,05;1;1;1;1;1
"position";1;1;0,116;1;1;1;1;0,05;0,09;1;1;1;1
"personally";1;1;1;1;1;1;1;0;0,09;1;1;1;1
"outreach";1;1;1;1;1;1;1;1;1;0,178;1;0,09;0,237
"organization";1;1;1;0,201;1;1;1;1;0,09;0,178;1;1;1
"openness";1;0,09;1;1;1;1;1;1;0,09;0,178;1;1;1
"observe";1;1;0;1;1;1;1;1;1;1;1;1;1
"numerous";1;1;1;0,002;1;1;1;0,05;1;1;1;1;1
"note";1;1;0,116;1;1;1;0,132;1;1;0,178;1;1;1
"natural";1;1;1;1;0,013;0,071;1;1;1;0,178;1;1;1
"matthew";1;1;1;0,002;1;1;1;1;0,09;1;1;1;1
"materiality";1;0,09;1;1;1;1;1;0,05;1;0,178;1;1;1
"manner";0;1;0,116;1;1;1;1;1;1;1;1;1;1
"linguistics";1;1;0,116;0,201;1;1;1;0,05;1;1;1;1;1
"leverage";1;1;1;0,002;1;1;0,132;1;1;1;1;1;1
"key";1;1;1;0,201;1;0,071;1;1;1;0,178;1;1;1
"interpretive";1;0,09;1;1;1;1;1;0,05;0,09;1;1;1;1
"interdisciplinarity";1;1;1;1;1;1;0;1;1;1;1;1;1
"integral";1;1;1;0,201;1;1;1;1;0,09;1;1;1;0,237
"hope";1;1;0,116;1;1;0,071;1;1;0,09;1;1;1;1
"historically";1;1;1;0,201;1;1;1;1;1;1;1;0;1
"harness";1;0,09;0,116;1;1;1;1;1;1;1;1;0,09;1
"gold";1;1;1;0,201;1;1;1;0,05;0,09;1;1;1;1
"gis";1;1;0,116;0,201;1;1;1;1;0,09;1;1;1;1
"german";1;1;0,116;1;1;1;1;0,05;1;0,178;1;1;1
"fundamentally";1;1;0,116;1;1;1;1;1;0,09;1;1;1;0,237
"formulate";0,042;1;1;0,201;1;1;1;1;1;1;1;0,09;1
"formal";1;1;0,116;0,201;1;1;0,132;1;1;1;1;1;1
"fine";1;1;0;0,201;1;1;1;1;1;1;1;1;1
"figure";1;1;1;1;1;1;1;1;0,09;1;1;0;1
"fast";1;0,09;1;1;1;0,071;1;1;1;1;1;1;0,237
"familiar";1;1;0,116;1;1;1;1;0,05;1;1;1;0,09;1
"fair";1;1;0,116;0,201;1;1;1;0,05;1;1;1;1;1
"fail";0,042;1;1;1;1;1;1;0,05;0,09;1;1;1;1
"fact";1;1;1;0,002;1;1;1;1;0,09;1;1;1;1
"experimentation";1;0,09;0,116;1;0,013;1;1;1;1;1;1;1;1
"evidence";1;1;0,116;1;1;1;1;1;0,09;1;1;0,09;1
"evaluation";1;0,09;1;1;1;1;1;1;1;0,001;1;1;1
"establish";1;1;1;0,201;1;0,071;1;1;1;0,178;1;1;1
"era";1;1;0,116;1;1;1;0,132;1;0,09;1;1;1;1
"endeavour";1;0,09;0,116;1;0,013;1;1;1;1;1;1;1;1
"employ";0;1;1;1;1;1;1;1;1;0,178;1;1;1
"embed";0;1;1;0,201;1;1;1;1;1;1;1;1;1
"efficiency";1;1;0,116;1;0,013;1;1;1;1;1;1;1;0,237
"effective";1;1;1;0,201;1;1;1;1;1;1;1;0;1
"distribute";1;1;0,116;1;1;1;1;1;1;1;1;0;1
"distant";1;0,09;1;0,201;1;1;1;1;1;1;0,02;1;1
"differently";1;0;0,116;1;1;1;1;1;1;1;1;1;1
"difference";1;0,09;1;0,201;1;1;1;1;1;1;1;0,09;1
"designer";1;0,09;1;0,201;1;1;1;0,05;1;1;1;1;1
"derive";1;0,09;1;1;1;1;0,132;1;1;0,178;1;1;1
"dependent";1;1;1;0,201;0,013;1;0,132;1;1;1;1;1;1
"democratization";1;1;1;0,002;1;1;1;1;1;1;1;0,09;1
"cut";1;1;0,116;1;0,013;1;1;1;0,09;1;1;1;1
"crossroad";0,042;0,09;1;1;1;1;1;1;1;1;1;0,09;1
"craft";1;1;1;1;1;1;0,132;0,05;1;1;1;0,09;1
"continue";0,042;1;1;1;1;1;1;0,05;0,09;1;1;1;1
"conservative";1;1;1;0,201;1;1;1;1;0;1;1;1;1
"conscious";1;0,09;1;1;1;1;1;1;1;1;0,02;1;0,237
"collaboratively";1;1;1;1;1;1;1;0,05;0,09;1;1;1;0,237
"capture";1;1;1;1;1;1;0,132;0,05;1;1;1;0,09;1
"branch";1;1;0;0,201;1;1;1;1;1;1;1;1;1
"brain";1;1;0,116;1;1;0,071;1;1;0,09;1;1;1;1
"belief";1;1;0;1;1;1;1;1;1;1;1;1;1
"bad";0,042;1;1;1;1;1;1;0,05;1;0,178;1;1;1
"aware";1;1;1;0,201;1;0,071;1;1;1;1;0,02;1;1
"argument";1;0,09;1;0,201;1;1;1;1;0,09;1;1;1;1
"anymore";1;1;1;1;1;0,071;0,132;0,05;1;1;1;1;1
"anthropology";1;0,09;0,116;0,201;1;1;1;1;1;1;1;1;1
"amount";1;1;1;0,201;1;0;1;1;1;1;1;1;1
"alongside";1;1;1;1;1;0,071;1;0,05;1;1;0,02;1;1
"algorithm";1;1;0,116;1;1;0,071;0,132;1;1;1;1;1;1
"afford";1;0,09;1;1;1;1;0,132;1;1;1;1;0,09;1
"active";1;1;1;0,201;1;0,071;1;1;1;1;0,02;1;1
"acknowledge";0,042;1;1;1;1;1;1;0,05;1;1;1;0,09;1
"achieve";0,042;1;0,116;1;1;1;1;1;0,09;1;1;1;1
"*year_2012-01-01";0,549;1;1;1;1;1;1;1;1;0,001;1;0,039;0,078
"*year_2011-01-01";0,289;0,251;0,08;1;1;0,686;1;0,64;0,062;1;1;1;0,888
"*year_2010-01-01";1;0,205;1;0,004;1;0,13;1;1;1;1;1;1;0,651
"*year_2009-01-01";1;0,024;0,232;0,459;1;0,532;0,785;0,077;1;1;1;1;1
"*year_2014-01-01";1;1;0,633;1;0,005;1;0,19;0,577;0,663;1;0,138;0,899;1
