"";"classe 1";"classe 2";"classe 3"
"even";11;0,002;-11,055
"am";8,556;1,111;-12,824
"up";0,328;-2,11;0,129
"said";3,501;-1,976;-0,926
"need";1,196;-0,02;-0,992
"become";8,556;-1,976;-4,039
"allows";5,751;-0,343;-4,039
"together";5,751;-1,976;-2,208
"better";3,501;1,111;-6,419
"best";9,354;-0,183;-7,658
"same";3,717;-1,708;-1,17
"might";8,1;-1,574;-4,111
"first";1,166;0,115;-1,664
"example";10,628;-1,842;-5,634
"available";1,857;-0,183;-1,17
"yet";0,203;-1,308;0,08
"without";1,196;0,736;-2,674
"under";3,717;0,205;-4,864
"rather";0,608;-0,06;-0,382
"must";1,256;-1,044;-0,213
"further";-1,611;-1,574;4,257
"was";5,665;0,736;-8,491
"try";0,577;0,057;-0,824
"though";1,171;-1,574;-0,075
"then";1,942;-0,06;-1,509
"others";1,171;0,331;-2,083
"consider";11,792;-1,574;-6,822
"changes";0,203;0,736;-0,992
"really";4,028;-1,441;-1,509
"however";0,587;-0,001;-0,551
"done";5,665;-0,02;-5,174
"come";2,083;-1,176;-0,551
"beyond";1,196;-1,308;-0,127
"why";5,665;-0,02;-5,174
"two";2,083;1,049;-4,364
"towards";-1,604;-0,001;1,634
"self";0,203;-1,308;0,08
"say";0,587;-0,001;-0,551
"myself";10,724;-1,044;-6,774
"either";-0,037;-0,02;0,08
"around";5,665;-0,02;-5,174
"among";1,256;-1,044;-0,213
"across";5,665;-1,308;-2,674
"able";9,14;-1,308;-5,174
"various";-0,347;-0,001;0,366
"seeing";1,256;0,009;-1,381
"particular";1,681;-0,519;-0,687
"name";1,256;0,009;-1,381
"looking";-0,1;0,009;0,064
"least";4,498;-0,001;-4,364
"happens";4,498;-0,001;-4,364
"each";5,263;-0,912;-2,79
"cannot";3,381;-1,044;-1,381
"believe";2,083;-1,176;-0,551
"were";4,017;-0,781;-2,039
"want";3,381;0,009;-3,568
"useful";5,263;0,057;-5,919
"themselves";1,383;0,164;-2,039
"seems";1,256;0,009;-1,381
"re";-2,376;2,052;0,381
"otherwise";-0,1;-1,044;0,934
"no";5,263;0,057;-5,919
"itself";0,162;0,009;-0,213
"i_ll";8,021;-0,781;-5,066
"get";8,021;-0,781;-5,066
"anyone";3,381;-1,044;-1,381
"3";1,256;0,009;-1,381
"that_s";0,594;-0,65;-0,063
"since";0,577;2,052;-2,79
"over";9,371;-0,912;-5,919
"novel";0,577;0,057;-0,824
"needs";0,577;0,057;-0,824
"less";1,383;-0,781;-0,366
"last";5,263;-0,912;-2,79
"every";0,577;0,057;-0,824
"ever";0,577;-0,912;-0,021
"else";4,017;-0,781;-2,039
"does";8,021;-0,781;-5,066
"did";1,681;0,732;-3,368
"before";1,383;0,164;-2,039
"associated";-1,711;-0,781;3,476
"anything";0,594;0,365;-1,328
"always";4,017;-0,781;-2,039
"whatever";-0,23;8,891;-2,039
"trying";1,383;-0,781;-0,366
"non";0,594;-0,65;-0,063
"i_ve";0,121;8,891;-5,066
"having";4,017;0,164;-5,066
"few";0,081;0,732;-0,687
"especially";2,813;-0,65;-1,328
"down";1,383;0,164;-2,039
"course";0,081;-0,519;0,032
"your";0,594;0,365;-1,328
"too";-1,086;4,06;-0,063
"thus";-0,018;4,06;-1,328
"someone";1,681;-0,519;-0,687
"quite";0,594;0,365;-1,328
"perhaps";2,813;0,365;-4,216
"once";2,813;-0,65;-1,328
"merely";0,594;0,365;-1,328
"instead";-1,086;4,06;-0,063
"gives";2,813;0,365;-4,216
"given";2,813;-0,65;-1,328
"everyone";1,681;-0,519;-0,687
"et";1,681;-0,519;-0,687
"doesn_t";0,594;4,06;-4,216
"d";0,689;1,428;-2,523
"asking";-1,086;0,365;0,422
"another";0,594;-0,65;-0,063
"although";6,675;-0,65;-4,216
"01";0,689;1,428;-2,523
"we_re";0,081;0,732;-0,687
"via";1,681;-0,519;-0,687
"upon";0,081;-0,519;0,032
"therefore";-0,531;0,732;0,032
"sometimes";5,333;-0,519;-3,368
"seem";5,333;-0,519;-3,368
"probably";1,681;-0,519;-0,687
"plus";3,994;-0,389;-2,523
"maybe";1,681;0,732;-3,368
"little";0,689;-0,389;-0,182
"going";5,333;-0,519;-3,368
"far";-3,033;16,057;-0,687
"currently";5,333;-0,519;-3,368
"considering";0,081;0,732;-0,687
"co";1,681;-0,519;-0,687
"again";1,681;0,732;-3,368
"actually";1,681;-0,519;-0,687
"2009";1,681;0,732;-3,368
"0";0,081;-0,519;0,032
"whole";0,689;-0,389;-0,182
"welcome";0,689;-0,389;-0,182
"truly";0,689;-0,389;-0,182
"toward";-0,115;-0,389;0,54
"soon";0,689;-0,389;-0,182
"second";-0,115;-0,389;0,54
"particularly";0,689;-0,389;-0,182
"outside";0,689;-0,389;-0,182
"ones";-0,115;-0,389;0,54
"look";3,994;-0,389;-2,523
"let";-0,115;1,428;-0,182
"latter";0,689;-0,389;-0,182
"isn_t";3,994;-0,389;-2,523
"everything";0,689;-0,389;-0,182
"entirely";3,994;-0,389;-2,523
"enough";0,689;-0,389;-0,182
"couldn_t";0,689;-0,389;-0,182
"comes";0,689;-0,389;-0,182
"com";-2,272;23,345;-2,523
"certain";3,994;-0,389;-2,523
"apart";0,689;-0,389;-0,182
"already";3,994;-0,389;-2,523
"almost";3,994;-0,389;-2,523
"above";-0,115;-0,389;0,54
"*year_2012-01-01";-18,393;2,31;10,838
"*year_2011-01-01";8,011;-1,38;-4,256
"*year_2010-01-01";0,468;-3,394;0,247
"*year_2009-01-01";4,063;-2,653;-0,927
"*year_2014-01-01";0,373;1,429;-1,878
