"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"borrow";-0,437;-0,548;-0,523;-0,455;13,637;-0,241;-0,686
"bite";-0,878;0,008;-1,05;-0,915;17,382;-0,483;-1,379
"benefit";0,087;1,498;0,017;0,067;-1,338;-0,483;-0,014
"begin";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"advantage";0,087;0,008;0,017;0,067;-1,338;-0,483;0,875
"writer";-0,731;-0,916;-0,874;-0,761;5,967;-0,402;1,534
"website";3,401;-0,916;-0,874;0,209;0,012;-0,402;0,007
"visualize";-0,584;0,286;-0,698;-0,608;0,129;10,675;-0,917
"visual";-0,584;0,286;-0,698;-0,608;-0,889;-0,321;8,486
"vague";-0,584;-0,732;-0,698;-0,608;2,763;-0,321;2,634
"understanding";1,163;0,746;-0,523;-0,455;-0,666;-0,241;0,436
"transformation";0,245;0,082;-0,874;-0,761;1,63;1,17;-1,148
"tradition";14,13;-0,732;-0,698;-0,608;-0,889;-0,321;0,111
"theorize";-0,584;-0,732;0,334;0,498;-0,889;1,823;0,111
"textual";-0,731;0,082;-0,874;0,209;-1,113;1,17;1,534
"synthesis";0,553;-0,732;-0,698;4,801;-0,889;-0,321;0,111
"subset";0,245;0,082;-0,874;-0,761;5,967;-0,402;-1,148
"stuff";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"skill";-0,731;-0,916;-0,874;-0,761;-1,113;1,17;12,589
"short";-0,731;-0,916;-0,874;-0,761;0,012;-0,402;12,589
"relevant";3,401;0,082;-0,874;-0,761;1,63;-0,402;-1,148
"refer";0,245;-0,916;-0,874;-0,761;1,63;-0,402;1,534
"real";0,245;0,082;-0,874;-0,761;1,63;1,17;-1,148
"promote";-0,584;0,286;-0,698;0,498;0,129;1,823;-0,917
"previously";0,245;-0,916;-0,874;-0,761;-1,113;38,807;-1,148
"powerful";-0,584;-0,732;0,334;-0,608;-0,889;-0,321;8,486
"pedagogical";0,245;2,345;-0,874;0,209;-1,113;-0,402;0,007
"outcome";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"organize";0,245;-0,916;-0,874;-0,761;5,967;-0,402;0,007
"ongoing";-0,584;10,987;-0,698;-0,608;0,129;-0,321;-0,917
"norm";-0,731;-0,916;-0,874;-0,761;13,022;-0,402;0,007
"movement";0,245;0,082;-0,874;-0,761;1,63;-0,402;0,007
"literacy";-0,731;-0,916;-0,874;-0,761;1,63;-0,402;5,728
"librarian";-0,731;0,082;-0,874;-0,761;5,967;1,17;-1,148
"liberal";-0,731;2,345;-0,874;3,193;-1,113;-0,402;0,007
"leave";0,245;-0,916;-0,874;-0,761;0,012;-0,402;5,728
"late";5,069;-0,732;-0,698;0,498;-0,889;1,823;-0,917
"largely";-0,584;-0,732;-0,698;0,498;2,763;-0,321;0,111
"interconnect";-0,437;0,746;-0,523;1,08;-0,666;2,963;-0,686
"integration";0,553;0,286;-0,698;4,801;-0,889;-0,321;-0,917
"innovation";-0,584;-0,732;-0,698;-0,608;-0,889;1,823;8,486
"informatics";-0,584;0,286;-0,698;0,498;0,129;-0,321;0,111
"imply";-0,731;27,709;-0,874;-0,761;-1,113;-0,402;-1,148
"imagine";0,245;0,082;-0,874;3,193;-1,113;-0,402;0,007
"huge";-0,731;0,082;-0,874;-0,761;-1,113;-0,402;12,589
"hard";-0,437;-0,548;-0,523;-0,455;13,637;-0,241;-0,686
"gather";-0,731;0,082;2,544;0,209;-1,113;-0,402;0,007
"gain";-0,731;-0,916;-0,874;-0,761;1,63;7,827;0,007
"function";-0,437;0,746;0,823;-0,455;-0,666;2,963;-0,686
"foster";-0,437;0,746;0,823;-0,455;0,472;-0,241;-0,686
"finding";0,245;7,704;-0,874;-0,761;-1,113;1,17;-1,148
"extension";0,245;-0,916;-0,874;0,209;-1,113;1,17;1,534
"expertise";-0,731;7,704;-0,874;-0,761;1,63;-0,402;-1,148
"essentially";0,553;-0,732;-0,698;-0,608;8,79;-0,321;-0,917
"endeavor";-0,584;0,286;-0,698;4,801;-0,889;1,823;-0,917
"encode";-0,731;-0,916;-0,874;-0,761;-1,113;1,17;12,589
"educational";-0,584;-0,732;-0,698;0,498;-0,889;1,823;2,634
"discourse";-0,731;-0,916;-0,874;-0,761;0,012;-0,402;12,589
"disciplinary";-0,437;0,746;-0,523;1,08;0,472;-0,241;-0,686
"digitize";-0,584;3,704;-0,698;0,498;-0,889;-0,321;0,111
"determine";-0,731;-0,916;-0,874;0,209;1,63;1,17;0,007
"depend";-0,731;-0,916;-0,874;-0,761;13,022;-0,402;0,007
"deep";-0,731;-0,916;-0,874;-0,761;13,022;-0,402;0,007
"database";-0,584;0,286;-0,698;-0,608;-0,889;-0,321;8,486
"cross";-0,584;0,286;-0,698;0,498;-0,889;-0,321;2,634
"connection";-0,731;-0,916;-0,874;0,209;-1,113;20,373;0,007
"conceive";0,245;0,082;-0,874;-0,761;-1,113;1,17;1,534
"computation";0,553;-0,732;-0,698;-0,608;2,763;1,823;-0,917
"common";0,245;-0,916;-0,874;-0,761;1,63;1,17;0,007
"commit";-0,731;0,082;-0,874;-0,761;0,012;20,373;-1,148
"collect";-0,584;-0,732;-0,698;-0,608;2,763;10,675;-0,917
"classroom";1,163;-0,548;-0,523;-0,455;-0,666;-0,241;4,617
"capability";-0,584;0,286;-0,698;-0,608;-0,889;1,823;2,634
"blog";10,2;-0,916;0,109;-0,761;-1,113;1,17;-1,148
"basic";-0,731;0,082;-0,874;0,209;-1,113;-0,402;5,728
"back";0,245;-0,916;-0,874;3,193;-1,113;-0,402;1,534
"assist";-0,584;3,704;-0,698;0,498;0,129;-0,321;-0,917
"array";0,553;-0,732;-0,698;-0,608;0,129;1,823;0,111
"affordances";-0,731;0,082;0,109;-0,761;1,63;-0,402;0,007
"accessible";-0,731;0,082;-0,874;-0,761;1,63;-0,402;1,534
"willingness";-0,584;0,286;-0,698;-0,608;0,129;1,823;0,111
"transfer";0,553;-0,732;-0,698;-0,608;-0,889;-0,321;8,486
"thinker";-0,584;-0,732;-0,698;-0,608;-0,889;1,823;8,486
"theorise";1,163;-0,548;0,823;-0,455;-0,666;2,963;-0,686
"tell";0,553;-0,732;-0,698;-0,608;-0,889;-0,321;8,486
"strong";-0,584;0,286;0,334;-0,608;0,129;-0,321;0,111
"storage";-0,584;0,286;-0,698;0,498;-0,889;-0,321;2,634
"state";0,553;0,286;-0,698;-0,608;0,129;-0,321;0,111
"special";-0,437;-0,548;0,823;-0,455;0,472;2,963;-0,686
"solve";-0,437;0,746;0,823;-0,455;0,472;-0,241;-0,686
"shape";1,163;0,746;-0,523;-0,455;0,472;-0,241;-0,686
"rich";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"respond";1,163;-0,548;-0,523;-0,455;0,472;-0,241;0,436
"relation";0,553;-0,732;-0,698;0,498;0,129;-0,321;0,111
"reflexive";-0,437;-0,548;0,823;7,579;-0,666;-0,241;-0,686
"redefine";7,941;-0,548;-0,523;-0,455;-0,666;2,963;-0,686
"quest";0,553;-0,732;0,334;-0,608;0,129;1,823;-0,917
"qualitative";-0,437;-0,548;-0,523;1,08;-0,666;-0,241;4,617
"professional";-0,584;0,286;-0,698;-0,608;0,129;-0,321;2,634
"productive";1,163;-0,548;-0,523;1,08;-0,666;-0,241;0,436
"problematic";-0,584;-0,732;-0,698;-0,608;18,21;-0,321;-0,917
"principle";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"preserve";1,163;-0,548;0,823;1,08;-0,666;-0,241;-0,686
"pose";27,739;-0,732;-0,698;-0,608;-0,889;-0,321;-0,917
"portion";-0,584;-0,732;-0,698;-0,608;2,763;-0,321;2,634
"political";-0,437;-0,548;-0,523;-0,455;0,472;2,963;0,436
"phenomenon";-0,584;-0,732;3,963;0,498;-0,889;-0,321;0,111
"personal";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"perform";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"participant";-0,584;-0,732;-0,698;-0,608;0,129;1,823;2,634
"numb";-0,584;-0,732;-0,698;-0,608;2,763;1,823;0,111
"multi";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"merge";-0,584;-0,732;-0,698;-0,608;0,129;-0,321;8,486
"meaning";-0,584;0,286;-0,698;0,498;0,129;-0,321;0,111
"mark";-0,584;-0,732;-0,698;-0,608;2,763;10,675;-0,917
"manipulate";0,553;-0,732;0,334;0,498;0,129;-0,321;-0,917
"management";-0,437;-0,548;-0,523;-0,455;0,472;2,963;0,436
"main";0,553;-0,732;-0,698;0,498;2,763;-0,321;-0,917
"light";1,163;6,088;-0,523;-0,455;-0,666;-0,241;-0,686
"library";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"lens";-0,437;0,746;-0,523;1,08;-0,666;-0,241;0,436
"label";-0,584;0,286;0,334;0,498;0,129;-0,321;-0,917
"interface";0,553;0,286;-0,698;0,498;-0,889;-0,321;0,111
"incorporation";5,069;-0,732;0,334;-0,608;0,129;-0,321;-0,917
"impossible";-0,584;-0,732;0,334;0,498;-0,889;-0,321;2,634
"importantly";-0,584;-0,732;0,334;-0,608;2,763;1,823;-0,917
"hide";-0,584;-0,732;-0,698;-0,608;0,129;1,823;2,634
"grow";-0,584;10,987;-0,698;-0,608;-0,889;-0,321;0,111
"fun";-0,437;-0,548;0,823;1,08;0,472;-0,241;-0,686
"framework";-0,584;-0,732;-0,698;0,498;2,763;-0,321;0,111
"format";1,163;0,746;-0,523;-0,455;-0,666;-0,241;0,436
"foreground";-0,584;-0,732;0,334;0,498;-0,889;-0,321;2,634
"folk";-0,437;-0,548;-0,523;-0,455;13,637;-0,241;-0,686
"fiction";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"fall";-0,584;0,286;-0,698;-0,608;0,129;1,823;0,111
"event";-0,584;-0,732;-0,698;-0,608;8,79;1,823;-0,917
"emergence";-0,584;10,987;-0,698;-0,608;0,129;-0,321;-0,917
"effort";-0,584;-0,732;-0,698;-0,608;0,129;-0,321;8,486
"easy";-0,437;0,746;0,823;1,08;-0,666;-0,241;-0,686
"dynamic";0,553;-0,732;-0,698;-0,608;0,129;1,823;0,111
"discovery";-0,584;3,704;0,334;-0,608;0,129;-0,321;-0,917
"deeply";-0,584;-0,732;-0,698;-0,608;0,129;10,675;0,111
"decade";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"curation";-0,584;0,286;-0,698;0,498;0,129;1,823;-0,917
"creativity";-0,584;-0,732;-0,698;4,801;-0,889;1,823;0,111
"conventional";1,163;0,746;-0,523;-0,455;-0,666;-0,241;0,436
"consume";-0,584;0,286;-0,698;-0,608;-0,889;-0,321;8,486
"consciously";-0,437;6,088;-0,523;-0,455;0,472;-0,241;-0,686
"claim";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"center";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"carry";0,553;-0,732;-0,698;-0,608;2,763;-0,321;0,111
"capacity";-0,437;-0,548;-0,523;-0,455;-0,666;2,963;4,617
"body";-0,437;-0,548;-0,523;-0,455;-0,666;2,963;4,617
"blogs";0,553;-0,732;-0,698;-0,608;0,129;-0,321;2,634
"augment";0,553;0,286;0,334;-0,608;0,129;-0,321;-0,917
"animal";-0,437;-0,548;-0,523;-0,455;0,472;2,963;0,436
"adopt";1,163;-0,548;-0,523;1,08;-0,666;-0,241;0,436
"xml";-0,437;-0,548;-0,523;-0,455;-0,666;-0,241;13,231
"wall";1,163;-0,548;-0,523;-0,455;-0,666;2,963;0,436
"utilization";1,163;6,088;-0,523;-0,455;-0,666;-0,241;-0,686
"universal";-0,437;-0,548;-0,523;1,08;-0,666;-0,241;4,617
"ubiquitous";-0,437;-0,548;-0,523;-0,455;-0,666;2,963;4,617
"transmission";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"thoughtful";1,163;0,746;-0,523;-0,455;-0,666;-0,241;0,436
"terras";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"talk";-0,437;-0,548;-0,523;1,08;-0,666;-0,241;4,617
"suggest";1,163;-0,548;-0,523;-0,455;0,472;-0,241;0,436
"stand";1,163;-0,548;-0,523;-0,455;0,472;-0,241;0,436
"spirit";-0,437;-0,548;-0,523;1,08;0,472;-0,241;0,436
"sphere";-0,437;-0,548;-0,523;-0,455;0,472;15,471;-0,686
"sort";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"scope";-0,437;0,746;0,823;-0,455;0,472;-0,241;-0,686
"rubric";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"require";-0,437;6,088;-0,523;-0,455;-0,666;-0,241;0,436
"remix";1,163;0,746;-0,523;-0,455;-0,666;-0,241;0,436
"recent";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"reader";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"reach";1,163;-0,548;-0,523;-0,455;0,472;2,963;-0,686
"radically";1,163;-0,548;-0,523;-0,455;0,472;-0,241;0,436
"pull";-0,437;-0,548;-0,523;1,08;4,795;-0,241;-0,686
"procedure";-0,437;0,746;0,823;-0,455;-0,666;-0,241;0,436
"primarily";-0,437;-0,548;-0,523;1,08;-0,666;2,963;0,436
"pretty";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"position";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"personally";-0,437;-0,548;-0,523;-0,455;13,637;-0,241;-0,686
"perceive";1,163;0,746;-0,523;1,08;-0,666;-0,241;-0,686
"participation";-0,437;-0,548;0,823;-0,455;-0,666;-0,241;4,617
"outreach";1,163;-0,548;0,823;1,08;-0,666;-0,241;-0,686
"organization";-0,437;-0,548;-0,523;1,08;0,472;-0,241;0,436
"openness";-0,437;-0,548;-0,523;1,08;0,472;2,963;-0,686
"observe";-0,437;-0,548;-0,523;-0,455;-0,666;-0,241;13,231
"numerous";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"note";-0,437;0,746;-0,523;1,08;-0,666;-0,241;0,436
"natural";-0,437;0,746;-0,523;1,08;0,472;-0,241;-0,686
"matthew";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"materiality";-0,437;-0,548;-0,523;1,08;0,472;2,963;-0,686
"linguistics";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"leverage";-0,437;0,746;-0,523;-0,455;-0,666;-0,241;4,617
"landscape";-0,437;-0,548;-0,523;1,08;4,795;-0,241;-0,686
"key";-0,437;0,746;-0,523;1,08;-0,666;-0,241;0,436
"interpretive";-0,437;-0,548;-0,523;-0,455;4,795;2,963;-0,686
"interdisciplinarity";-0,437;16,575;-0,523;-0,455;-0,666;-0,241;-0,686
"integral";-0,437;-0,548;0,823;-0,455;0,472;-0,241;0,436
"inside";-0,437;-0,548;-0,523;1,08;-0,666;-0,241;4,617
"inquire";-0,437;0,746;-0,523;1,08;-0,666;-0,241;0,436
"hope";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"historically";7,941;-0,548;-0,523;-0,455;-0,666;-0,241;0,436
"harness";1,163;-0,548;-0,523;-0,455;-0,666;2,963;0,436
"gold";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"gis";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"german";-0,437;-0,548;-0,523;1,08;0,472;-0,241;0,436
"generally";-0,437;-0,548;-0,523;7,579;-0,666;-0,241;0,436
"fundamentally";-0,437;-0,548;0,823;-0,455;0,472;-0,241;0,436
"forward";-0,437;-0,548;-0,523;1,08;-0,666;-0,241;4,617
"formal";-0,437;0,746;-0,523;-0,455;-0,666;-0,241;4,617
"fine";-0,437;-0,548;-0,523;-0,455;-0,666;-0,241;13,231
"figure";7,941;-0,548;-0,523;-0,455;0,472;-0,241;-0,686
"fast";-0,437;0,746;0,823;-0,455;-0,666;2,963;-0,686
"familiar";1,163;-0,548;-0,523;-0,455;0,472;-0,241;0,436
"fair";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"fact";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"experimentation";-0,437;-0,548;-0,523;-0,455;0,472;2,963;0,436
"evidence";1,163;-0,548;-0,523;-0,455;0,472;-0,241;0,436
"evaluation";-0,437;-0,548;-0,523;7,579;-0,666;2,963;-0,686
"establish";-0,437;0,746;-0,523;1,08;-0,666;-0,241;0,436
"era";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"endeavour";-0,437;-0,548;-0,523;-0,455;0,472;2,963;0,436
"efficiency";-0,437;-0,548;0,823;-0,455;0,472;-0,241;0,436
"effective";7,941;-0,548;-0,523;-0,455;-0,666;-0,241;0,436
"distribute";7,941;-0,548;-0,523;-0,455;-0,666;-0,241;0,436
"distant";1,163;-0,548;-0,523;-0,455;-0,666;2,963;0,436
"differently";-0,437;-0,548;-0,523;-0,455;-0,666;15,471;0,436
"difference";1,163;-0,548;-0,523;-0,455;-0,666;2,963;0,436
"dialogue";-0,437;-0,548;0,823;-0,455;-0,666;2,963;0,436
"designer";-0,437;-0,548;-0,523;-0,455;0,472;2,963;0,436
"derive";-0,437;0,746;-0,523;1,08;-0,666;2,963;-0,686
"dependent";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"democratization";1,163;-0,548;-0,523;-0,455;-0,666;-0,241;4,617
"cut";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"craft";1,163;0,746;-0,523;-0,455;0,472;-0,241;-0,686
"consideration";-0,437;-0,548;-0,523;7,579;-0,666;2,963;-0,686
"conservative";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"conscious";1,163;-0,548;0,823;-0,455;-0,666;2,963;-0,686
"colleague";-0,437;-0,548;-0,523;1,08;-0,666;-0,241;4,617
"collaboratively";-0,437;-0,548;0,823;-0,455;4,795;-0,241;-0,686
"capture";1,163;0,746;-0,523;-0,455;0,472;-0,241;-0,686
"branch";-0,437;-0,548;-0,523;-0,455;-0,666;-0,241;13,231
"brain";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"belief";-0,437;-0,548;-0,523;-0,455;-0,666;-0,241;13,231
"aware";1,163;0,746;-0,523;-0,455;-0,666;-0,241;0,436
"argument";-0,437;-0,548;-0,523;-0,455;0,472;2,963;0,436
"anymore";-0,437;6,088;-0,523;-0,455;0,472;-0,241;-0,686
"anthropology";-0,437;-0,548;-0,523;-0,455;-0,666;2,963;4,617
"amount";-0,437;6,088;-0,523;-0,455;-0,666;-0,241;0,436
"alongside";1,163;0,746;-0,523;-0,455;0,472;-0,241;-0,686
"algorithm";-0,437;6,088;-0,523;-0,455;-0,666;-0,241;0,436
"al";-0,437;-0,548;-0,523;1,08;-0,666;-0,241;4,617
"afford";1,163;0,746;-0,523;-0,455;-0,666;2,963;-0,686
"active";1,163;0,746;-0,523;-0,455;-0,666;-0,241;0,436
"accessibility";-0,437;6,088;-0,523;1,08;-0,666;-0,241;-0,686
"the";-0,473;0,471;-7,036;1,314;0,2;-0,047;1,169
"and";0,208;0,878;-8,816;3,033;-5,203;4,392;0,619
"of";-0,924;-0,061;-4,055;2,657;0,135;0,028;0,996
"to";6,322;0,001;-10,52;-17,22;2,061;1,043;5,167
"a";0,013;-0,358;-27,629;-8,856;21,637;1,108;6,385
"in";-2,811;3,143;-9,75;-1,044;1,218;0,079;5,042
"is";0,38;-0,007;-16,782;-3,185;6,547;0,431;3,474
"as";-2,365;-0,538;-13,108;-5,028;9,497;0,115;15,757
"that";-2,866;-0,06;-8,561;-6,99;9,789;3,693;5,066
"i";-0,283;-6,5;-10,028;-4,447;18,567;0,875;7,007
"for";-0,64;-0,233;-10,008;-1,584;0,478;8,087;6,327
"new";9,816;1,188;-5,749;-7,295;0,102;0,822;-0,007
"it";-0,528;-1,176;-3,955;-8,492;22,022;-0,361;2,999
"with";0,116;1,61;-15,091;-3,079;1,879;0,027;4,553
"or";-7,919;0,592;-3,058;-2,248;1,796;3,931;3,73
"are";-2,296;-0,05;-3,256;-2,709;1,351;0;11,865
"on";-0,369;-0,31;-5,903;0,031;1,905;-0,722;5,326
"use";-1,986;2,277;3,008;0,781;-2,399;-0,038;-0,774
"be";-1,525;-0,129;-3,141;-9,112;12,982;0,007;4,014
"not";-1,712;0,225;-3,419;-4,363;8,339;0,201;1,04
"an";-0,72;-4,928;-10,555;0,776;3,107;4,069;3,55
"using";0,188;-1,739;0,004;-0,13;-0,001;-0,026;1,542
"we";-0,942;-6,957;-4,659;-7,243;14,059;-0,457;18,733
"by";-2,039;2,004;-3,754;-0,746;2,274;0,429;0,243
"about";0,039;-1,395;-4,594;-3,344;10,919;0,267;0,726
"but";-0,409;-0,081;-2,239;-8,465;8,142;-0,102;4,385
"from";-0,217;-2,117;-5,635;-0,898;12,084;0,579;0,615
"make";-1,373;0,102;-0,864;-0,819;0,926;3,081;0,043
"can";0,284;-0,269;-0,144;-11,445;3,582;-0,252;3,144
"our";0,549;-1,131;-4,485;-2,039;2,84;0,896;1,49
"my";-0,366;-0,166;-8,805;-1,227;5,015;-1,515;10,094
"this";-0,038;-2,375;-6,672;-2,285;10,905;-0,503;6,127
"more";0,549;-1,131;-4,485;-5,055;14,778;0,174;0,023
"which";1,237;0,217;-9,583;-2,54;0,449;0,47;2,896
"me";0,48;-0,131;-5,912;-3,07;2,064;12,905;-0,127
"at";-3,229;-2,234;-0,371;0,025;16,863;-0,023;-0,387
"what";-0,41;-1,322;-2,111;-8,345;27,168;-0,971;0,906
"through";-0,942;0,168;-1,915;0,946;0,798;0,81;-0,387
"also";-2,956;0,022;-1,663;-3,235;3,113;0,987;2,744
"do";-1,163;-0,556;0,036;-8,345;19,849;-2,38;0,333
"how";0,006;-4,625;-0,6;0;1,127;-0,669;4,619
"have";0,125;-3,487;-6,818;-3,793;18,42;0,612;0,532
"all";0,226;-0,875;-1,579;-3,489;8,674;0,78;-0,078
"these";-0,928;0,209;0,33;-1,072;0,693;0,006;-0,01
"one";0,051;0,482;-4,354;-5,75;2,405;0,049;2,144
"just";0,193;-0,284;-3,807;-5,245;1,971;1,135;3,174
"into";0,051;-0,534;-4,354;0,42;1,223;0,049;0,339
"their";-2,263;-0,272;-3,233;-0,364;2,538;1,624;2,256
"other";-1,869;-1,594;-2,735;-3,732;0,328;0,029;23,491
"its";-0,084;0,048;-2,572;-0,766;3,984;-0,187;0,339
"who";-3,216;-0,444;-0,33;-1,779;2,733;0,88;2,455
"between";-0,831;-0,731;-2,899;2,224;-2,832;4,154;4,527
"us";6,693;-2,319;-2,097;-1,519;0,227;0,147;0,744
"within";0,002;-1,994;-1,791;-0,339;1,303;-2,595;8,745
"those";0,355;-0,731;-1,518;-2,184;0,003;0,015;6,541
"they";-0,202;1,525;-5,45;-1,149;3,002;0,313;0,044
"would";-0,807;-0,49;-1,354;-0,917;0,939;0,472;3,574
"it_s";-2,187;-1,525;0,22;-0,917;6,119;2,031;-0,352
"both";-1,371;3,77;-0,893;-0,031;0;-0,09;0,163
"any";-1,904;4,92;-1,08;-2,042;0,452;-0,497;1,255
"so";-0,062;-1,376;-0,301;-4,251;0,323;-0,559;12,488
"well";0,352;-1,994;-0,673;-1,269;0,035;0,248;4,043
"such";-2,187;-1,525;-2,916;-0,917;2,163;-2,333;19,134
"has";-1,904;-0,308;-4,694;-2,042;4,98;0,004;7,099
"when";0,019;-0,692;-3,947;-3,437;15,621;-0,269;0,263
"different";-0,704;-1,376;-4,882;-0,806;0,323;5,092;6,365
"if";0,18;-2,768;-1,08;-2,042;7,569;0,004;0,367
"you";-2,531;-0,176;-0,126;-2,635;19,52;-1,392;-0,009
"e";-2,838;0,002;-3,393;-1,06;-0,757;-0,129;25,757
"some";-1,226;0,224;-1,728;-1,33;5,849;-1,731;1,441
"s";-0,133;-1,708;-3,577;-3,115;6,672;1,745;1,789
"doing";-0,34;0,074;-2,059;-1,609;7,109;-0,322;0,16
"used";-3,457;-0,1;-0,701;-1,609;4,474;0,059;2,227
"see";-1,096;-1,708;-3,577;-0,176;-0,134;9,343;6,278
"i_m";0,172;-3,556;-3,393;-0,116;11,304;-1,561;0,78
"don_t";-2,684;-3,364;0,813;-2,795;12,702;-0,091;0,165
"being";-1,491;-0,819;-2,059;-0,41;1,025;0,059;6,677
"where";-0,081;-0,355;-0,281;-0,116;0,891;0,281;0,081
"than";-1,627;-0,951;-0,103;-3,761;6,323;-0,378;3,601
"something";-0,97;-1,539;-3,393;-2,954;20,897;0,281;0,081
"etc";-0,726;-0,176;-3,026;-2,635;0,347;2,682;5,91
"will";-0,081;0,483;-3,393;-2,954;7,604;-0,129;0,081
"very";-0,081;-1,539;0,016;-1,06;-0,07;2,016;2,197
"take";-1,096;1,465;-1,566;0,064;-0,134;0,205;0,567
"may";-0,846;0,665;-3,209;0,204;-0,61;-0,091;5,064
"like";-1,096;-0,002;-3,577;-3,115;0,662;-0,172;13,497
"help";-0,194;2,897;-0,476;-3,276;0,013;-0,219;1,441
"them";-0,013;-0,176;-1,097;0,313;0,347;0,488;-0,009
"still";-1,096;-1,708;-3,577;0,064;18,943;-0,172;-0,172
"many";-1,226;-0,572;-1,728;-1,33;1,604;-0,219;8,479
"know";-2,379;-2,981;-2,844;-2,476;35,81;0,625;-0,397
"possible";-0,013;0,069;-1,097;0,313;-0,472;12,362;-1,853
"only";0,006;-0,05;-0,802;-0,561;0,76;0,792;0,021
"much";-0,395;-0,013;-0,662;-2,16;5,914;-0,001;0,078
"most";-0,726;-0,176;-1,097;-0,802;0,347;2,682;1,362
"g";-1,924;0;-2,3;-2,003;-0,969;0,002;22,538
"there";-0,846;-1,373;-1,25;-0,929;12,702;-1,477;1,042
"own";0;0,143;-2,844;-0,679;0,005;0,625;1,75
"out";-0,97;-3,556;-3,393;-2,954;26,79;-0,129;0,78
"allow";0,267;-1,373;-0,198;-0,066;-0,026;2,326;0,165
"2";-0,041;0,023;-0,198;-0,929;-0,61;0,374;2,675
"old";5,116;0,143;-0,068;-2,476;-0,347;0,625;-0,397
"could";-0,846;0,023;-1,25;-2,795;2,897;-0,091;2,675
"because";0;-1,051;-0,947;-2,476;1,913;-0,031;3,896
"1";-0,611;-0,105;-0,068;-0,679;-0,347;0,625;3,896
"should";-0,5;-0,896;-0,802;-2,318;12,853;0,792;-0,277
"now";-0,611;-0,105;-2,844;-0,679;1,913;-0,031;3,896
"been";3,926;-0,603;-2,3;-2,003;-0,066;-1,058;6,686
"while";0;-0,105;-2,844;-0,679;0,527;3,091;0,451
"whether";-1,623;3,782;-1,94;0,251;-0,612;1,903;-0,001
"uses";-2,531;0,069;1,06;0,313;-0,002;-1,392;0,286
"even";-0,013;-3,172;-1,097;-2,635;3,48;0,488;3,237
"am";0,745;-2,79;-2,662;-2,318;4,966;3,565;0,021
"up";-1,773;-0,467;0,034;0,135;-0,786;0,016;4,321
"said";-2,075;-0,013;-0,662;-0,449;9,818;-0,001;-0,172
"need";-0,065;0,166;-1,761;-0,087;0,97;-0,81;0,881
"become";-1,623;-0,34;-0,288;-1,689;0,635;0,047;5,358
"allows";-0,5;-0,05;-2,662;-0,561;0,037;15,091;0,021
"together";-2,075;-0,013;-0,662;-2,16;2,994;9,374;-0,172
"better";1,298;-2,411;-2,3;0,06;7,04;-1,058;-0,088
"best";-0,297;-0,603;-2,3;-2,003;16,879;-1,058;0,18
"same";-1,773;0,015;-0,403;-1,846;1,913;0,016;1,767
"might";-1,773;-0,467;-2,12;-0,246;19,447;1,536;-2,784
"first";0,088;0,603;-2,3;-2,003;7,04;0,002;-1,035
"example";-2,075;-0,013;-2,481;-2,16;2,994;-1,141;9,361
