"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"evidence";0,281;1;1;1;0,492;1;0,509
"evaluation";1;1;1;0,006;1;0,085;1
"establish";1;0,388;1;0,299;1;1;0,509
"era";1;0,388;1;1;0,492;1;0,509
"endeavour";1;1;1;1;0,492;0,085;0,509
"efficiency";1;1;0,364;1;0,492;1;0,509
"effective";0,005;1;1;1;1;1;0,509
"distribute";0,005;1;1;1;1;1;0,509
"distant";0,281;1;1;1;1;0,085;0,509
"differently";1;1;1;1;1;0;0,509
"difference";0,281;1;1;1;1;0,085;0,509
"dialogue";1;1;0,364;1;1;0,085;0,509
"designer";1;1;1;1;0,492;0,085;0,509
"derive";1;0,388;1;0,299;1;0,085;1
"dependent";1;0,388;1;1;0,492;1;0,509
"democratization";0,281;1;1;1;1;1;0,032
"cut";1;1;1;1;0,029;1;0,509
"craft";0,281;0,388;1;1;0,492;1;1
"consideration";1;1;1;0,006;1;0,085;1
"conservative";1;1;1;1;0,029;1;0,509
"conscious";0,281;1;0,364;1;1;0,085;1
"colleague";1;1;1;0,299;1;1;0,032
"collaboratively";1;1;0,364;1;0,029;1;1
"capture";0,281;0,388;1;1;0,492;1;1
"branch";1;1;1;1;1;1;0
"brain";1;0,388;1;1;0,492;1;0,509
"belief";1;1;1;1;1;1;0
"aware";0,281;0,388;1;1;1;1;0,509
"argument";1;1;1;1;0,492;0,085;0,509
"anymore";1;0,014;1;1;0,492;1;1
"anthropology";1;1;1;1;1;0,085;0,032
"amount";1;0,014;1;1;1;1;0,509
"alongside";0,281;0,388;1;1;0,492;1;1
"algorithm";1;0,014;1;1;1;1;0,509
"al";1;1;1;0,299;1;1;0,032
"afford";0,281;0,388;1;1;1;0,085;1
"active";0,281;0,388;1;1;1;1;0,509
"accessibility";1;0,014;1;0,299;1;1;1
"*year_2012-01-01";0,09;1;0,013;0,007;1;1;1
"*year_2011-01-01";1;1;1;1;0,037;0,194;0,237
"*year_2010-01-01";1;0,299;1;0,959;1;0,184;0,041
"*year_2009-01-01";1;0,487;1;1;1;0,021;0,138
"*year_2014-01-01";0,307;1;1;1;0,093;1;1
